id;ean;producent;bieznik;rozmiar;nosnosc;predkosc;tl/tt;płotna;cena;magazyn;waga;kategoria;sezon 
198665;;BKT;LG306 E;;;;;;183;0;;quad;wielosezonowe 
198666;;BKT;LG306 E;;;;;;267;2;;quad;wielosezonowe 
198668;;BKT;LG306 E Arma Turf;;;;;;151;0;;quad;wielosezonowe 
198669;;BKT;LG306 Arma Turf;;;;;;225;0;;quad;wielosezonowe 
198670;;BKT;LG306 Arma Turf;;;;;;260;0;;quad;wielosezonowe 
198671;;BKT;LG306  Arma Turf;;;;;;295;0;;quad;wielosezonowe 
198672;;BKT;LG306 Arma Turf;;;;;;330;0;;quad;wielosezonowe 
199066;8903094057993;BKT;AGRIMAX RT855 E;;;;;;8200;2;;inne;wielosezonowe 
199954;8903094068876;BKT;AGRIMAX RT 600 CFO E;;;;;;23800;2;;inne;wielosezonowe 
200037;8903094048632;BKT;AGRIMAX RT 851;;;;;;1620;0;;inne;wielosezonowe 
200140;;BKT;AS 509;;;;;;2500;2;;inne;wielosezonowe 
200588;;BKT;MAGLIFT LIP (QUICK);;;;;;1270;2;;inne;wielosezonowe 
201291;;BKT;SP IMP;;;;;;400;0;;inne;wielosezonowe 
201397;;BKT;PL 801 (ZESTAW-SET);;;;;;260;2;;inne;wielosezonowe 
201487;;BKT;MULTIMAX MP 522;;;;;;4350;2;;inne;wielosezonowe 
201508;;BKT;PT - HD;;;;;;1150;2;;inne;wielosezonowe 
201777;;BKT;EARTHMAX SR31;;;;;;10000;2;;inne;wielosezonowe 
202586;;BKT;FL 630 SUPET STBT;;;;;;3890;2;;inne;wielosezonowe 
202594;;BKT;EM 936 (ZESTAW-SET);;;;;;1270;0;;inne;wielosezonowe 
202768;8903094035809;BKT;AGRIMAX TERIS;;;;;;7400;2;;inne;wielosezonowe 
203264;;BKT;LG 306 ARMA TURF;;;;;;350;0;;quad;wielosezonowe 
203984;;BKT;PT - HD IMP;;;;;;865;2;;inne;wielosezonowe 
